Name,Retention(%over2yrs),Year
ipsn,22.033898305084744,2006
ipsn,34.61538461538461,2007
ipsn,28.26086956521739,2008
ipsn,46.0,2009
ipsn,52.63157894736842,2010
ipsn,42.5,2011
ipsn,43.58974358974359,2012
ipsn,31.70731707317073,2013
ipsn,40.0,2014
ipsn,46.808510638297875,2015
ipsn,45.16129032258064,2016
ipsn,57.89473684210527,2017
ipsn,60.0,2018
ipsn,36.0,2019
mobihoc,50.0,2006
mobihoc,48.529411764705884,2007
mobihoc,44.827586206896555,2008
mobihoc,41.7910447761194,2009
mobihoc,30.0,2010
mobihoc,40.0,2011
mobihoc,35.294117647058826,2012
mobihoc,55.00000000000001,2013
mobihoc,39.705882352941174,2014
mobihoc,56.52173913043478,2015
mobihoc,55.12820512820513,2016
mobihoc,74.28571428571429,2017
mobihoc,71.23287671232876,2018
mobihoc,68.29268292682927,2019
mobicom,53.84615384615385,2006
mobicom,55.10204081632652,2007
mobicom,41.509433962264154,2008
mobicom,30.158730158730158,2009
mobicom,44.89795918367347,2010
mobicom,51.11111111111111,2011
mobicom,58.139534883720934,2012
mobicom,44.0,2013
mobicom,42.62295081967213,2014
mobicom,45.0,2015
mobicom,53.2258064516129,2016
mobicom,61.016949152542374,2017
mobicom,49.29577464788733,2018
mobicom,55.072463768115945,2019
sensys,43.75,2006
sensys,42.857142857142854,2007
sensys,47.05882352941176,2008
sensys,37.2093023255814,2009
sensys,44.11764705882353,2010
sensys,40.0,2011
sensys,41.02564102564102,2012
sensys,37.142857142857146,2013
sensys,42.42424242424242,2014
sensys,41.02564102564102,2015
sensys,43.333333333333336,2016
sensys,46.808510638297875,2017
sensys,50.0,2018
sensys,78.26086956521739,2019
sigcomm,51.28205128205128,2006
sigcomm,32.30769230769231,2007
sigcomm,51.11111111111111,2008
sigcomm,36.76470588235294,2009
sigcomm,48.214285714285715,2010
sigcomm,50.0,2011
sigcomm,56.52173913043478,2012
sigcomm,60.71428571428571,2013
sigcomm,47.5,2014
sigcomm,55.26315789473685,2015
sigcomm,65.71428571428571,2016
sigcomm,35.9375,2017
sigcomm,24.137931034482758,2018
sigcomm,33.33333333333333,2019
